date_scraped,source,title,url,published,vendors_hit,keywords_hit,summary,engagement,hook
2026-01-20,CXToday,ServiceNow and OpenAI Push AI Past Chatbots into Real CX Work,https://www.cxtoday.com/contact-center/servicenow-openai-partnership-ai-cx-resolution/,2026-01-20T17:02:01+00:00,servicenow,,"ServiceNow and OpenAI are advancing AI beyond chatbots to address the gap between customer requests and actual resolution, potentially transforming ITSM, ITOM, HRSM, ESM, and EX operations. This partnership could significantly impact workflow automation and employee service management.",HIGH,ServiceNow and OpenAI pushing AI beyond chatbots in ES!
2026-01-20,CXToday,Omnichat Unveils Omni AI Agent Studio to Power WhatsApp Customer Interactions,https://www.cxtoday.com/crm/omnichat-unveils-omni-ai-agent-studio-to-power-whatsapp-customer-interactions/,2026-01-20T14:53:46+00:00,sap,,"Omnichat has launched Omni AI Agent Studio, a tool that leverages AI and conversational tools to enhance customer engagement and commerce on WhatsApp. This development could influence ES strategies, particularly in areas of ITSM and ESM, by introducing new channels and methods for customer and employee engagement.",MEDIUM,Omnichat's new AI tool transforms WhatsApp into a customer engagement platform.
2026-01-20,CXToday,"WEF Taps Salesforce EVA Agent to Orchestrate CX for 3,000 Leaders in Davos",https://www.cxtoday.com/customer-analytics-intelligence/wef-taps-salesforce-eva-agent-to-orchestrate-cx-for-3000-leaders-in-davos/,2026-01-19T13:46:42+00:00,salesforce,,"The World Economic Forum (WEF) has leveraged Salesforce's agentic platform, EVA Agent, to transform a decade of institutional data into real-time customer experience (CX) for 3,000 leaders. This showcases the potential of AI and automation in enhancing employee service management and experience.",MEDIUM,"WEF leverages Salesforce's EVA for real-time CX for 3,000 leaders!"
2026-01-20,HRExecutive,HR Technology,https://hrexecutive.com/category/hr-technology/,2026-01-20T13:15:00+00:00,,hr technology,,LOW,
2026-01-20,ITSMTools,ITSMArticles,https://itsm.tools/category/itsm/,2026-01-20T00:00:00+00:00,,itsm,,LOW,
2026-01-20,ITSMTools,Service DeskArticles,https://itsm.tools/category/service-desk/,2026-01-20T00:00:00+00:00,,service desk,"The article does not provide any specific information or updates related to Employee Service (ES) including ITSM, ITOM, ESM, HR service management, employee experience, and workflow automation.",LOW,No significant ES updates in this article.
2026-01-20,CXToday,Latest News,https://www.cxtoday.com/vendor/enghouse/,NaT,microsoft,,"Enghouse Interactive, a global provider of customer contact software, offers a complete portfolio of modular solutions that cover the full range of contact centre capabilities, including AI-enabled agent evaluation. The company provides various deployment options to meet specific requirements, including on-premise, private, public, community cloud and hybrid solutions.",MEDIUM,Enghouse Interactive offers AI-enabled agent evaluation in contact centre solutions.
2026-01-20,CIO,News,https://www.cio.com/news/page/5/,NaT,sap,,"SAP and Joule are partnering to embed generative AI deeper into ERP, targeting supply chain, finance, and beyond. This move is expected to accelerate a two-year upgrade project into six months, potentially impacting ITSM, ITOM, HRSM, ESM, and EX buyers by offering more efficient and intelligent solutions.",HIGH,SAP and Joule accelerate AI integration into ERP systems!
2026-01-20,CIO,News,https://www.cio.com/news/page/6/,NaT,sap,,"Deloitte has launched Zora AI, an agentic AI platform offering digital agents for various enterprise departments. The platform aims to assist developers and enterprises in building AI platforms, potentially impacting workflow automation and employee experience.",MEDIUM,Deloitte's Zora AI: New agentic AI platform for enterprises.
2026-01-20,CIO,News,https://www.cio.com/news/page/7/,NaT,microsoft,,"The world's largest software company joined CISPE as a non-voting member, sparking debate over balancing innovation with security and societal interests. This could impact ES buyers by potentially affecting the security and innovation aspects of their service management tools.",LOW,"Big Tech joins CISPE, sparks innovation vs security debate."
