date_scraped,source,title,url,published,summary,engagement,hook
2026-01-20,CXToday,ServiceNow and OpenAI Push AI Past Chatbots into Real CX Work,https://www.cxtoday.com/contact-center/servicenow-openai-partnership-ai-cx-resolution/,2026-01-20T17:02:01+00:00,"ServiceNow and OpenAI have partnered to push AI beyond chatbots and into real customer experience (CX) work. They aim to target the gap between customer requests and actual resolution, moving past traditional automation and speech agents. The partnership represents a strategic shift in the CCaaS space, leveraging AI for more effective customer service solutions.",HIGH,"ServiceNow, OpenAI partnership: AI moving beyond chatbots into real CX work!"
2026-01-20,CXToday,The $50 Billion Question: How Do You Charge for an AI Agent Seat That Doesn’t Exist?,https://www.cxtoday.com/contact-center/the-50-billion-question-how-do-you-charge-for-an-ai-agent-seat-that-doesnt-exist/,2026-01-20T14:59:30+00:00,"Autonomous AI agents are handling 30-40% of tasks previously done by humans in the contact center space, leading to a shift in pricing models. CFOs are demanding discounts, vendors are absorbing compute volatility, and pricing teams are redesigning contracts to accommodate this change. The traditional model of pricing per human agent is being challenged by the rise of AI.",HIGH,"AI agents shake up CCaaS pricing models, forcing CFOs to adapt."
2026-01-20,TechTarget,Customer service and contact center,https://www.techtarget.com/searchcustomerexperience/resources/Customer-service-and-contact-center,2026-01-19T00:00:00+00:00,"The article discusses the impact of AI on enterprise workflows, including customer service, and the rise of remote work leading to innovations in field service management. It also notes that customer experience is undergoing significant changes, which business tech buyers should take into account. However, it does not provide specific details about the CCaaS market or related technologies.",LOW,"AI reshaping enterprise workflows, including customer service; CX undergoing major changes."
2026-01-20,TechTarget,E-Commerce,https://www.techtarget.com/searchcustomerexperience/resources/E-Commerce,2026-01-19T00:00:00+00:00,,LOW,
2026-01-20,TechTarget,Features,https://www.techtarget.com/searchcustomerexperience/features,NaT,"The article discusses the shift in AI decisions from capability to ownership, control, and accountability. It also mentions the potential of agentic commerce, like ChatGPT shopping, to streamline B2B product procurement, with a focus on enterprise infrastructure, security, and purchasing validation processes. Two early adopters of Salesforce's agentic AI have successfully tailored it to their customer service business needs.",MEDIUM,AI decisions shift focus; agentic commerce potential in B2B procurement.
2026-01-20,TechTarget,Tips,https://www.techtarget.com/searchcustomerexperience/tips,NaT,"The article discusses the impact of remote work on field service management, the importance of visual search strategies for e-commerce professionals and CX leaders, and highlights key CX trends that business tech buyers should consider. It does not directly mention Contact Center as a Service (CCaaS) or provide specific insights into the CCaaS market.",LOW,Remote work reshaping field service management and CX trends!
2026-01-20,TechTarget,"Webinars, videos and virtual events",https://www.techtarget.com/searchcustomerexperience/webinars,NaT,"TechTarget offers a platform for webinars, videos, and virtual events focusing on customer experience, including a webinar on Alchemer Pulse, an AI-powered open-text analysis platform. The platform provides a vast resource of over 100,000 materials on various tech and business topics. The relevance of the content to the Contact Center / CCaaS / CX space is not explicitly stated.",LOW,Explore AI-powered text analysis in customer experience webinars on TechTarget.
2026-01-20,TechTarget,Trends and Innovation,https://www.techtarget.com/searchcustomerexperience/sponsored_communities,NaT,"The article is an advertisement for IT vendors, focusing on how ServiceNow solutions can enhance employee satisfaction by streamlining HR services. It discusses the delivery of modern workflows, apps, and automation at scale with a single hyperautomation platform. However, it does not directly relate to the Contact Center / CCaaS / CX space.",LOW,Discover how ServiceNow solutions streamline HR services and boost satisfaction.
2026-01-20,TechTarget,Ask the Experts,https://www.techtarget.com/searchcustomerexperience/answers,NaT,"The article discusses the importance of customer retention and loyalty in businesses, highlighting the role of loyalty programs in retaining valuable customers, gathering marketing data, and increasing referrals. It also briefly touches upon the confusion that can arise from various sales and marketing terms. No direct mention or relevance to the Contact Center / CCaaS / CX space is made.",LOW,"Exploring customer retention, loyalty, and the role of loyalty programs."
2026-01-20,TechTarget,Customer Experience Definitions,https://www.techtarget.com/searchcustomerexperience/definitions,NaT,The article discusses the importance of a 360-degree customer view and account-based experience (ABX) in understanding customers and providing a personalized experience. It also highlights the value of actionable insights derived from data. These strategies are crucial in the Contact Center / CCaaS / CX space for improving customer interactions and service.,LOW,360-degree view and ABX: Key strategies for personalized customer experience.
2026-01-20,TechTarget,Opinion,https://www.techtarget.com/searchcustomerexperience/opinions,NaT,"The article discusses the impact of AI on sales, the criticism faced by Benioff, and the performance of Nike and Adidas in the NFT world. There is no direct mention or relevance to the Contact Center / CCaaS / CX space.",LOW,"AI's impact on sales, Benioff's criticism, and NFT market dynamics."
2026-01-20,TechTarget,Podcasts,https://www.techtarget.com/searchcustomerexperience/podcasts,NaT,"The 'Pipeline' podcast features discussions on the complexities of customer experience (CX) metrics, the challenges of migrating legacy on-premises contact center platforms to the cloud, and the future of the Marketo marketing automation platform. The discussions involve CX expert Scott Sachs and Marketo VP Matt Zilli. The podcast also covers what Salesforce CRM users can expect from Marketo.",MEDIUM,Experts discuss CX complexities and cloud migration in 'Pipeline' podcast.
2026-01-20,TechTarget,Quizzes,https://www.techtarget.com/searchcustomerexperience/quizzes,NaT,"The article discusses how AI technology is shaping the content management market, with a focus on tagging and organizing documents. It mentions generative AI and agentic AI as key trends for 2026. However, it does not directly relate to the Contact Center / CCaaS / CX space.",LOW,"AI reshaping content management, but no direct CCaaS relevance."
2026-01-20,TechTarget,Tech Accelerators,https://www.techtarget.com/searchcustomerexperience/techaccelerators,NaT,"TechTarget offers Tech Accelerator packages to help enterprise leaders understand the importance of IT technologies in their companies' success. Each package covers a major technology, providing in-depth features, news, technical tips, and infographics. The content explains what the technology or service is, how to buy it, manage it, and troubleshoot problems.",LOW,TechTarget's Tech Accelerator: A deep dive into major IT technologies.
2026-01-20,TechTarget,Tutorials,https://www.techtarget.com/searchcustomerexperience/tutorials,NaT,"The article discusses how AI technology is shaping the content management market, with a focus on generative AI and agentic AI. It also provides guidance for business leaders on evaluating content collaboration platforms. However, it does not specifically mention or discuss the Contact Center / CCaaS / CX space.",LOW,"AI reshaping content management, but no direct CCaaS/CX relevance."
2026-01-20,TechTarget,Videos,https://www.techtarget.com/searchcustomerexperience/videos,NaT,"The article discusses the use of AI technology in content management and collaboration platforms. It highlights the emerging trends in 2026, including generative AI and agentic AI. However, it does not specifically address the Contact Center / CCaaS / CX space.",LOW,"AI shaping content management, but no clear CCaaS relevance."
