date_scraped,source,title,url,published,vendors_hit,keywords_hit,summary,engagement,hook
2026-01-15,CXToday,Cisco and Proto Hologram Demo an Edge AI Hologram for Retail CX,https://www.cxtoday.com/event-news/cisco-and-proto-hologram-demo-an-edge-ai-hologram-for-retail-cx/,2026-01-14T16:00:37+00:00,cisco,,"Cisco and Proto Hologram have demonstrated an Edge AI Hologram for retail customer experience (CX), pairing a scanned real person hologram with a small language model. This innovation could potentially revolutionize the employee service experience by providing more interactive and personalized service management.",MEDIUM,Edge AI Hologram: The Future of Employee Service?
2026-01-15,CXToday,AppOmni Uncovers Agentic AI Security Vulnerability in ServiceNow’s API and Agents,https://www.cxtoday.com/security-privacy-compliance/appomni-uncovers-agentic-ai-security-vulnerability-in-servicenows-api-and-agents/,2026-01-14T10:30:19+00:00,servicenow,,"AppOmni has discovered a security vulnerability in ServiceNow's agentic AI automation, potentially turning it into a tool for account takeover. This issue could impact ITSM, ITOM, HRSM, ESM, and EX buyers due to potential security risks.",HIGH,Security flaw found in ServiceNow's AI automation!
2026-01-15,CXToday,Microsoft and Algolia Push Real-Time Product Data into AI Shopping,https://www.cxtoday.com/customer-analytics-intelligence/microsoft-algolia-ai-shopping-real-time-product-data/,2026-01-13T12:07:25+00:00,microsoft,,"Microsoft and Algolia have partnered to provide real-time product data for AI shopping, allowing retailers to maintain accurate pricing and inventory across platforms like Copilot, Bing Shopping, and Edge. This development could impact workflow automation and employee service management in retail businesses.",MEDIUM,"Microsoft, Algolia push real-time data into AI shopping."
2026-01-15,CXToday,Salesforce Puts Shared Context at the Center of Agentic Commerce,https://www.cxtoday.com/ai-automation-in-cx/salesforce-puts-shared-context-at-the-center-of-agentic-commerce/,2026-01-12T13:41:49+00:00,salesforce,,"Salesforce has introduced new features emphasizing the role of shared context in agentic commerce to facilitate smooth, conversation-driven customer experiences. This development could impact ITSM, ITOM, HRSM, ESM, and EX buyers by changing the way they manage customer interactions and workflows.",MEDIUM,Salesforce redefines agentic commerce with shared context!
2026-01-15,CIO,IBM pushes sovereign computing with a software stack that works across cloud platforms,https://www.cio.com/article/4117279/ibm-pushes-sovereign-computing-with-a-software-stack-that-works-across-cloud-platforms.html,2026-01-15T05:23:29+00:00,microsoft,,"IBM has launched Sovereign Core, a software stack that offers enterprises and governments full control over sovereign cloud deployments. This move could impact ES buyers by providing enhanced data control, security, and compliance with local laws.",MEDIUM,IBM's Sovereign Core: Enhanced control over cloud deployments.
2026-01-15,HRExecutive,Employee experience,https://hrexecutive.com/category/talent-management/employee-experience/,2026-01-14T13:15:09+00:00,,employee experience,,LOW,
2026-01-15,HRExecutive,HR Technology,https://hrexecutive.com/category/hr-technology/,2026-01-15T13:00:03+00:00,,hr technology,,LOW,
2026-01-15,TechTargetNews,"Trust concerns hinder agentic AI adoption, orchestration",https://www.techtarget.com/pharmalifesciences/news/366637297/Trust-concerns-hinder-agentic-AI-adoption-orchestration,2026-01-14T09:08:00+00:00,,process automation,"Despite the potential of agentic AI in the pharmaceutical and life sciences sector, a new report reveals a significant gap between AI goals and implementation. This highlights the need for better trust and understanding in AI technology for effective ES operations.",MEDIUM,Trust issues hindering AI adoption in pharma sector
2026-01-15,TechTargetNews,Waystar adds agentic AI in move to 'autonomous' revenue cycle,https://www.techtarget.com/revcyclemanagement/news/366637224/Waystar-adds-agentic-AI-in-move-to-autonomous-revenue-cycle,2026-01-13T13:42:00+00:00,cisco,,"Healthcare payment software vendor Waystar is enhancing its AI capabilities to make revenue cycle management more autonomous. The addition of agentic AI to its platform, Waystar AltitudeAI, is aimed at denial prevention and revenue recovery, indicating a shift towards more autonomous workflow automation in the healthcare sector.",MEDIUM,Waystar boosts AI for autonomous revenue cycle management!
2026-01-15,TechTargetNews,"Epic, health systems file lawsuit alleging HIE exploitation",https://www.techtarget.com/searchhealthit/news/366637314/Epic-health-systems-file-lawsuit-alleging-HIE-exploitation,2026-01-13T12:43:00+00:00,infor,,"Epic and four healthcare organizations have filed a lawsuit against Health Gorilla, RavillaMed, LlamaLab AI and others, alleging that these companies are exploiting health information exchange (HIE) frameworks to illicitly access and monetize patient health information. This raises serious concerns about data security and privacy in healthcare IT systems, potentially impacting trust and adoption of such systems.",MEDIUM,Healthcare IT giants sue over alleged patient data exploitation!
2026-01-15,ITSMTools,ITSMArticles,https://itsm.tools/category/itsm/,2026-01-15T00:00:00+00:00,,itsm,,LOW,
